,absolute,percent
$elephant/m,0.203,113.876
bnb_lp_elephant,-28823977678024.477,-34.945
bnb_lp_bnb,34095.001,55.363
busd_lp_elephant,-20280714086000.375,-30.619
busd_lp_busd,5658312.193,47.649
$trunk,0.009,5.543
total_ele_in_lps,-49104691764024.844,-33.018
trunk_lp_trunk,-443288.932,-2.607
trunk_lp_busd,74963.721,2.792
trunk_lp_busd_to_balance,-71187.943,-1.748
bnb_price,-24.018,-10.078
bertha/T,24.241,16.547
busd_treasury,-45546.468,-30.590
trunk_treasury,670372.663,165.342
staking_balance,0.000,
farm_tvl,0.000,0.000
trunk_wallets,23359.000,1.961
farmers_depot_deposits,-1194046.000,-100.000
farmers_depot_balance,-28046.000,-100.000
futures_deposits,6827000.000,74.150
futures_balance,6827000.000,74.150
stampede_bonds,3280000.000,4.566
stampede_owed,2927000.000,2.958
trunk_liquid_debt,23359.000,0.430
redemption_queue,840000.000,47.458
