,absolute,percent
$elephant/m,0.00,5.19
bnb_lp_elephant,679127223924.52,0.57
bnb_lp_bnb,-233.82,-0.56
busd_lp_elephant,-552447013627.61,-0.60
busd_lp_busd,48558.09,0.60
$trunk,-0.01,-2.84
total_ele_in_lps,126680210296.88,0.06
trunk_lp_trunk,217501.93,1.46
trunk_lp_busd,-43573.63,-1.43
trunk_lp_busd_to_balance,43832.30,1.19
bnb_price,26.73,10.26
bertha/T,-0.11,-0.11
busd_treasury,-432.54,-35.84
trunk_treasury,-6722.62,-11.00
staking_balance,-34500.00,-0.38
farm_tvl,187000.00,2.64
trunk_wallets,8591.00,0.80
farmers_depot_deposits,3023.00,0.29
farmers_depot_balance,-91392.00,-24.11
futures_deposits,0.00,
futures_balance,0.00,
stampede_bonds,170000.00,0.31
stampede_owed,-141500.00,-0.26
trunk_liquid_debt,67591.00,0.49
redemption_queue,-10000.00,-0.68
