,absolute,percent
$elephant/m,0.008,8.813
bnb_lp_elephant,3526422187877.984,2.945
bnb_lp_bnb,-1018.996,-2.452
busd_lp_elephant,-3013885655724.656,-3.259
busd_lp_busd,272020.819,3.379
$trunk,-0.008,-3.942
total_ele_in_lps,512536532153.312,0.242
trunk_lp_trunk,304006.254,2.037
trunk_lp_busd,-60527.614,-1.985
trunk_lp_busd_to_balance,60923.067,1.648
bnb_price,40.865,15.684
bertha/T,-0.199,-0.196
busd_treasury,523.176,43.351
trunk_treasury,-10233.758,-16.740
staking_balance,-47000.000,-0.514
farm_tvl,289000.000,4.073
trunk_wallets,12318.500,1.144
farmers_depot_deposits,6828.000,0.657
farmers_depot_balance,-116194.000,-30.649
futures_deposits,0.000,
futures_balance,0.000,
stampede_bonds,250000.000,0.449
stampede_owed,-217500.000,-0.393
trunk_liquid_debt,109818.500,0.797
redemption_queue,-10000.000,-0.685
