,absolute,percent
$elephant/m,0.008,9.149
bnb_lp_elephant,4213765170917.609,3.520
bnb_lp_bnb,-1247.795,-3.003
busd_lp_elephant,-3611649265176.156,-3.906
busd_lp_busd,328134.724,4.076
$trunk,-0.018,-9.024
total_ele_in_lps,602115905741.438,0.284
trunk_lp_trunk,724176.858,4.852
trunk_lp_busd,-140556.750,-4.609
trunk_lp_busd_to_balance,141214.959,3.820
bnb_price,42.972,16.492
bertha/T,-0.303,-0.298
busd_treasury,335.729,27.819
trunk_treasury,-22930.213,-37.509
staking_balance,-269000.000,-2.939
farm_tvl,440000.000,6.202
trunk_wallets,22436.000,2.084
farmers_depot_deposits,30525.000,2.938
farmers_depot_balance,-182511.000,-48.142
futures_deposits,0.000,
futures_balance,0.000,
stampede_bonds,420000.000,0.754
stampede_owed,-409000.000,-0.738
trunk_liquid_debt,-26564.000,-0.193
redemption_queue,-20000.000,-1.370
