,absolute,percent
$elephant/m,0.003,3.446
bnb_lp_elephant,2847294963953.469,2.365
bnb_lp_bnb,-785.177,-1.900
busd_lp_elephant,-2461438642097.047,-2.678
busd_lp_busd,223462.728,2.759
$trunk,-0.002,-1.129
total_ele_in_lps,385856321856.438,0.182
trunk_lp_trunk,86504.324,0.571
trunk_lp_busd,-16953.985,-0.564
trunk_lp_busd_to_balance,17090.764,0.457
bnb_price,14.136,4.921
bertha/T,-0.085,-0.084
busd_treasury,955.717,123.431
trunk_treasury,-3511.136,-6.453
staking_balance,-12500.000,-0.137
farm_tvl,102000.000,1.401
trunk_wallets,3727.500,0.343
farmers_depot_deposits,3805.000,0.365
farmers_depot_balance,-24802.000,-8.620
futures_deposits,0.000,
futures_balance,0.000,
stampede_bonds,80000.000,0.143
stampede_owed,-76000.000,-0.138
trunk_liquid_debt,42227.500,0.305
redemption_queue,0.000,0.000
