,absolute,percent
$elephant/m,0.039,43.817
bnb_lp_elephant,-6197654427128.797,-5.177
bnb_lp_bnb,2464.148,5.930
busd_lp_elephant,-15977406274761.844,-17.279
busd_lp_busd,1779427.241,22.104
$trunk,-0.040,-19.563
total_ele_in_lps,-22175060701890.656,-10.451
trunk_lp_trunk,1723582.866,11.549
trunk_lp_busd,-313294.239,-10.274
trunk_lp_busd_to_balance,316286.447,8.556
bnb_price,67.098,25.752
bertha/T,10.476,10.297
busd_treasury,90602.869,7507.491
trunk_treasury,10619.239,17.371
staking_balance,-530000.000,-5.791
farm_tvl,744000.000,10.486
trunk_wallets,40896.000,3.798
farmers_depot_deposits,34237.000,3.295
farmers_depot_balance,-324874.000,-85.694
futures_deposits,1445000.000,inf
futures_balance,1445000.000,inf
stampede_bonds,1020000.000,1.830
stampede_owed,-549000.000,-0.991
trunk_liquid_debt,-117104.000,-0.850
redemption_queue,60000.000,4.110
