,absolute,percent
$elephant/m,0.022,24.644
bnb_lp_elephant,-2046228966755.891,-1.709
bnb_lp_bnb,904.770,2.177
busd_lp_elephant,-10284606783117.500,-11.123
busd_lp_busd,1033757.569,12.841
$trunk,-0.036,-17.404
total_ele_in_lps,-12330835749873.406,-5.811
trunk_lp_trunk,1502465.966,10.067
trunk_lp_busd,-277142.869,-9.088
trunk_lp_busd_to_balance,279307.505,7.556
bnb_price,46.190,17.728
bertha/T,4.864,4.781
busd_treasury,159237.222,13194.638
trunk_treasury,26425.470,43.226
staking_balance,-643000.000,-7.026
farm_tvl,469000.000,6.610
trunk_wallets,30743.000,2.855
farmers_depot_deposits,32286.000,3.107
farmers_depot_balance,-277596.000,-73.223
futures_deposits,726645.000,inf
futures_balance,726645.000,inf
stampede_bonds,640000.000,1.148
stampede_owed,-468000.000,-0.845
trunk_liquid_debt,-377757.000,-2.742
redemption_queue,40000.000,2.740
