,absolute,percent
$elephant/m,0.00,2.87
bnb_lp_elephant,352222942311.14,0.29
bnb_lp_bnb,-121.60,-0.29
busd_lp_elephant,-321299922805.27,-0.35
busd_lp_busd,28168.42,0.35
$trunk,-0.00,-1.20
total_ele_in_lps,30923019505.88,0.01
trunk_lp_trunk,90414.04,0.61
trunk_lp_busd,-18254.77,-0.60
trunk_lp_busd_to_balance,18375.43,0.50
bnb_price,14.51,5.57
bertha/T,-0.06,-0.06
busd_treasury,10.31,0.85
trunk_treasury,-4205.41,-6.88
staking_balance,43000.00,0.47
farm_tvl,133000.00,1.87
trunk_wallets,5325.00,0.49
farmers_depot_deposits,1576.00,0.15
farmers_depot_balance,-65628.00,-17.31
futures_deposits,0.00,
futures_balance,0.00,
stampede_bonds,100000.00,0.18
stampede_owed,-85000.00,-0.15
trunk_liquid_debt,114825.00,0.83
redemption_queue,-10000.00,-0.68
