,absolute,percent
$elephant/m,0.014,14.196
bnb_lp_elephant,-6259994137673.500,-5.051
bnb_lp_bnb,2152.564,5.340
busd_lp_elephant,-6672957517941.344,-7.510
busd_lp_busd,705622.846,8.422
$trunk,-0.017,-9.211
total_ele_in_lps,-12932951655614.844,-6.078
trunk_lp_trunk,778289.108,4.974
trunk_lp_busd,-136586.119,-4.695
trunk_lp_busd_to_balance,138092.546,3.598
bnb_price,3.219,1.060
bertha/T,5.167,5.094
busd_treasury,158901.493,10301.142
trunk_treasury,49355.683,129.193
staking_balance,-374000.000,-4.210
farm_tvl,29000.000,0.385
trunk_wallets,8307.000,0.756
farmers_depot_deposits,1761.000,0.165
farmers_depot_balance,-95085.000,-48.365
futures_deposits,726645.000,inf
futures_balance,726645.000,inf
stampede_bonds,220000.000,0.392
stampede_owed,-59000.000,-0.107
trunk_liquid_debt,-351193.000,-2.554
redemption_queue,60000.000,4.167
