,absolute,percent
$elephant/m,0.293,330.244
bnb_lp_elephant,-66062919275855.758,-55.180
bnb_lp_bnb,54122.530,130.236
busd_lp_elephant,-46511466047179.078,-50.301
busd_lp_busd,9482995.322,117.796
$trunk,-0.038,-18.426
total_ele_in_lps,-112574385323034.844,-53.054
trunk_lp_trunk,1636287.655,10.964
trunk_lp_busd,-289147.800,-9.482
trunk_lp_busd_to_balance,304058.420,8.225
bnb_price,-46.250,-17.751
bertha/T,69.000,67.820
busd_treasury,102140.745,8463.537
trunk_treasury,1014686.042,1659.794
staking_balance,-9152000.000,-100.000
farm_tvl,1386000.000,19.535
trunk_wallets,137669.000,12.786
farmers_depot_deposits,-1038998.000,-100.000
farmers_depot_balance,-379109.000,-100.000
futures_deposits,16034000.000,inf
futures_balance,16034000.000,inf
stampede_bonds,19381000.000,34.777
stampede_owed,46498050.000,83.937
trunk_liquid_debt,-8321331.000,-60.404
redemption_queue,1150000.000,78.767
