,absolute,percent
$elephant/m,0.00,2.26
bnb_lp_elephant,326904281613.38,0.27
bnb_lp_bnb,-112.22,-0.27
busd_lp_elephant,-231147090822.34,-0.25
busd_lp_busd,20389.67,0.25
$trunk,-0.00,-1.67
total_ele_in_lps,95757190791.00,0.05
trunk_lp_trunk,127087.89,0.85
trunk_lp_busd,-25318.86,-0.84
trunk_lp_busd_to_balance,25456.87,0.69
bnb_price,12.22,4.44
bertha/T,-0.06,-0.06
busd_treasury,-442.85,-36.38
trunk_treasury,-2517.21,-4.42
staking_balance,-77500.00,-0.84
farm_tvl,54000.00,0.75
trunk_wallets,3266.00,0.30
farmers_depot_deposits,1447.00,0.14
farmers_depot_balance,-25764.00,-8.22
futures_deposits,0.00,
futures_balance,0.00,
stampede_bonds,70000.00,0.13
stampede_owed,-56500.00,-0.10
trunk_liquid_debt,-47234.00,-0.34
redemption_queue,0.00,0.00
