,absolute,percent
$elephant/m,0.090,101.165
bnb_lp_elephant,-37238941597831.281,-31.104
bnb_lp_bnb,20027.530,48.192
busd_lp_elephant,-26230751961178.703,-28.368
busd_lp_busd,3824683.128,47.510
$trunk,-0.046,-22.710
total_ele_in_lps,-63469693559010.000,-29.912
trunk_lp_trunk,2079576.588,13.934
trunk_lp_busd,-364111.521,-11.940
trunk_lp_busd_to_balance,375246.362,10.151
bnb_price,-22.232,-8.533
bertha/T,44.759,43.994
busd_treasury,147687.214,12237.587
trunk_treasury,344313.379,563.218
staking_balance,-9152000.000,-100.000
farm_tvl,1386000.000,19.535
trunk_wallets,114310.000,10.617
farmers_depot_deposits,155048.000,14.923
farmers_depot_balance,-351063.000,-92.602
futures_deposits,9207000.000,inf
futures_balance,9207000.000,inf
stampede_bonds,16101000.000,28.891
stampede_owed,43571050.000,78.653
trunk_liquid_debt,-8344690.000,-60.573
redemption_queue,310000.000,21.233
