day,Date,category,balance,balancetot
2023-12-01 00:00,2023-12-01,BotGasStation,3447539293.312128,1874121441438.457
2023-12-01 00:00,2023-12-01,NFT APR,159260893314.13797,1874121441438.457
2023-12-01 00:00,2023-12-01,PerformanceFund,169145861488.9788,1874121441438.457
2023-12-01 00:00,2023-12-01,PegSupport,318494561946.77246,1874121441438.457
2023-12-01 00:00,2023-12-01,Redemption,530526254420.90247,1874121441438.457
2023-12-01 00:00,2023-12-01,Futures,693246330974.3531,1874121441438.457
