,absolute,percent
$elephant/m,0.050,38.881
bnb_lp_elephant,-31184653345074.844,-27.435
bnb_lp_bnb,17410.256,39.412
busd_lp_elephant,-10796645630467.438,-14.016
busd_lp_busd,2047950.677,20.840
$trunk,-0.037,-18.871
total_ele_in_lps,-41981298975542.281,-22.014
trunk_lp_trunk,1695412.982,11.075
trunk_lp_busd,-294577.345,-9.885
trunk_lp_busd_to_balance,297782.970,7.890
bnb_price,-94.185,-28.326
bertha/T,26.002,21.579
busd_treasury,91556.936,159.682
trunk_treasury,241027.117,146.593
staking_balance,-8806000.000,-100.000
farm_tvl,-140000.000,-1.624
trunk_wallets,54244.000,4.772
farmers_depot_deposits,120811.000,11.257
farmers_depot_balance,-26189.000,-48.288
futures_deposits,6685000.000,265.067
futures_balance,6685000.000,265.067
stampede_bonds,5821000.000,8.818
stampede_owed,4610050.000,4.886
trunk_liquid_debt,-8821756.000,-61.893
redemption_queue,240000.000,15.686
