,absolute,percent
$elephant/m,0.0016,1.7993
bnb_lp_elephant,170113288418.5625,0.1421
bnb_lp_bnb,-58.8172,-0.1415
busd_lp_elephant,-82689449502.7188,-0.0894
busd_lp_busd,7235.8916,0.0899
$trunk,-0.0018,-0.8972
total_ele_in_lps,87423838915.8125,0.0412
trunk_lp_trunk,67565.0433,0.4527
trunk_lp_busd,-13678.4776,-0.4486
trunk_lp_busd_to_balance,13750.6779,0.3720
bnb_price,9.5157,3.6521
bertha/T,-0.0283,-0.0278
busd_treasury,71.8792,5.9560
trunk_treasury,-2637.9452,-4.3151
staking_balance,15000.0000,0.1639
farm_tvl,73000.0000,1.0289
trunk_wallets,0.0000,0.0000
farmers_depot_deposits,710.0000,0.0683
farmers_depot_balance,-8148.0000,-2.1492
futures_deposits,0.0000,
futures_balance,0.0000,
stampede_bonds/m,0.0600,0.1077
stampede_owed/m,-0.0570,-0.1029
trunk_liquid_debt/m,0.0515,0.3738
redemption_queue/m,0.0000,0.0000
