,absolute,percent
$elephant/m,0.031,31.762
bnb_lp_elephant,-10411419598046.406,-8.401
bnb_lp_bnb,3711.942,9.209
busd_lp_elephant,-12365757009585.688,-13.917
busd_lp_busd,1451292.517,17.322
$trunk,-0.022,-11.585
total_ele_in_lps,-22777176607632.094,-10.704
trunk_lp_trunk,999406.007,6.387
trunk_lp_busd,-172737.489,-5.938
trunk_lp_busd_to_balance,175071.488,4.562
bnb_price,24.126,7.949
bertha/T,10.779,10.626
busd_treasury,90267.140,5851.768
trunk_treasury,33549.452,87.819
staking_balance,-261000.000,-2.938
farm_tvl,304000.000,4.035
trunk_wallets,18460.000,1.680
farmers_depot_deposits,3712.000,0.347
farmers_depot_balance,-142363.000,-72.413
futures_deposits,1445000.000,inf
futures_balance,1445000.000,inf
stampede_bonds,600000.000,1.069
stampede_owed,-140000.000,-0.255
trunk_liquid_debt,-90540.000,-0.658
redemption_queue,80000.000,5.556
